0,0.15,45
0.001,0.15,45
0.002,0.15,45
0.003,0.15,45
0.004,0.15,45
0.005,0.15,45
0.006,0.15,45
0.007,0.15,45
0.008,0.15,45
0.009,0.15,45
0.01,0.15,45
0.011,0.15,45
0.012,0.15,45
0.013,0.15,45
0.014,0.15,45
0.015,0.15,45
0.016,0.15,45
0.017,0.15,45
0.018,0.15,45
0.019,0.15,45
0.02,0.15,45
0.021,0.15,45
0.022,0.15,45
0.023,0.15,45
0.024,0.15,45
0.025,0.15,45
0.026,0.15,45
0.027,0.15,45
0.028,0.15,45
0.029,0.15,45
0.03,0.15,45
0.031,0.15,45
0.032,0.15,45
0.033,0.15,45
0.034,0.15,45
0.035,0.15,45
0.036,0.15,45
0.037,0.15,45
0.038,0.15,45
0.039,0.15,45
0.04,0.15,45
0.041,0.15,45
0.042,0.15,45
0.043,0.15,45
0.044,0.15,45
0.045,0.15,45
0.046,0.15,45
0.047,0.15,45
0.048,0.15,45
0.049,0.15,45
0.05,0.15,45
0.051,0.15,45
0.052,0.15,45
0.053,0.15,45
0.054,0.15,45
0.055,0.15,45
0.056,0.15,45
0.057,0.15,45
0.058,0.15,45
0.059,0.15,45
0.06,0.15,45
0.061,0.15,45
0.062,0.15,45
0.063,0.15,45
0.064,0.15,45
0.065,0.15,45
0.066,0.15,45
0.067,0.15,45
0.068,0.15,45
0.069,0.15,45
0.07,0.15,45
0.071,0.15,45
0.072,0.15,45
0.073,0.15,45
0.074,0.15,45
0.075,0.15,45
0.076,0.15,45
0.077,0.15,45
0.078,0.15,45
0.079,0.15,45
0.08,0.15,45
0.081,0.15,45
0.082,0.15,45
0.083,0.15,45
0.084,0.15,45
0.085,0.15,45
0.086,0.15,45
0.087,0.15,45
0.088,0.15,45
0.089,0.15,45
0.09,0.15,45
0.091,0.15,45
0.092,0.15,45
0.093,0.15,45
0.094,0.15,45
0.095,0.15,45
0.096,0.15,45
0.097,0.15,45
0.098,0.15,45
0.099,0.15,45
0.1,0.15,45
0.101,0.15,45
0.102,0.15,45
0.103,0.15,45
0.104,0.15,45
0.105,0.15,45
0.106,0.15,45
0.107,0.15,45
0.108,0.15,45
0.109,0.15,45
