0,0,0
0.001,0.00017,0.001
0.002,0.00034,0.001
0.003,0.00051,0.001
0.004,0.00068,0.001
0.005,0.00085,0.001
0.006,0.00102,0.001
0.007,0.00119,0.001
0.008,0.00136,0.001
0.009,0.00153,0.001
0.01,0.0017,0.000999999999999999
0.011,0.00187,0.000999999999999999
0.012,0.00204,0.001
0.013,0.00221,0.001
0.014,0.00238,0.000999999999999999
0.015,0.00255,0.000999999999999999
0.016,0.00272,0.001
0.017,0.00289,0.001
0.018,0.00306,0.001
0.019,0.00323,0.000999999999999997
0.02,0.0034,0.001
0.021,0.00357,0.001
0.022,0.00374,0.000999999999999997
0.023,0.00391,0.001
0.024,0.00408,0.001
0.025,0.00425,0.001
0.026,0.00442,0.001
0.027,0.00459,0.000999999999999997
0.028,0.00476,0.001
0.029,0.00493,0.001
0.03,0.0051,0.000999999999999997
0.031,0.00527,0.001
0.032,0.00544,0.001
0.033,0.00561,0.001
0.034,0.00578,0.001
0.035,0.00595,0.001
0.036,0.00612,0.001
0.037,0.00629,0.000999999999999994
0.038,0.00646,0.001
0.039,0.00663,0.001
0.04,0.0068,0.001
0.041,0.00697,0.001
0.042,0.00714,0.001
0.043,0.00731,0.001
0.044,0.00748,0.000999999999999994
0.045,0.00765,0.001
0.046,0.00782,0.001
0.047,0.00799,0.001
0.048,0.00816,0.001
0.049,0.00833,0.001
0.05,0.0085,0.001
0.051,0.00867,0.001
0.052,0.00884,0.001
0.053,0.00901,0.000999999999999994
0.054,0.00918,0.001
0.055,0.00935,0.001
0.056,0.00952,0.001
0.057,0.00969,0.001
0.058,0.00986,0.001
0.059,0.01003,0.001
0.06,0.0102,0.000999999999999994
0.061,0.01037,0.001
0.062,0.01054,0.001
0.063,0.01071,0.001
0.064,0.01088,0.001
0.065,0.01105,0.001
0.066,0.01122,0.001
0.067,0.01139,0.001
0.068,0.01156,0.001
0.069,0.01173,0.001
0.07,0.0119,0.001
0.071,0.01207,0.001
0.072,0.01224,0.001
0.073,0.01241,0.000999999999999987
0.074,0.01258,0.001
0.075,0.01275,0.001
0.076,0.01292,0.001
0.077,0.01309,0.001
0.078,0.01326,0.001
0.079,0.01343,0.001
0.08,0.0136,0.001
0.081,0.01377,0.001
0.082,0.01394,0.001
0.083,0.01411,0.001
0.084,0.01428,0.001
0.085,0.01445,0.001
0.086,0.01462,0.001
0.087,0.01479,0.001
0.088,0.01496,0.000999999999999987
0.089,0.01513,0.001
0.09,0.0153,0.001
0.091,0.01547,0.001
0.092,0.01564,0.001
0.093,0.01581,0.001
0.094,0.01598,0.001
0.095,0.01615,0.001
0.096,0.01632,0.001
0.097,0.01649,0.001
0.098,0.01666,0.001
0.099,0.01683,0.001
0.1,0.017,0.001
0.101,0.01717,0.001
0.102,0.01734,0.001
0.103,0.01751,0.001
0.104,0.01768,0.001
0.105,0.01785,0.000999999999999987
0.106,0.01802,0.001
0.107,0.01819,0.001
0.108,0.01836,0.001
0.109,0.01853,0.001
0.11,0.0187,0.001
0.111,0.01887,0.001
0.112,0.01904,0.001
0.113,0.01921,0.001
0.114,0.01938,0.001
0.115,0.01955,0.001
0.116,0.01972,0.001
